agent_id,episode,step,berries,berries_consumed,berries_foraged,berries_thrown,health,wellbeing,action,dead,num_behaviours
0,1,1,0,0,0,0,1.97,65.66666666666667,move,False,1
1,1,1,0,0,0,0,1.97,65.66666666666667,move,False,1
2,1,1,1,0,1,0,1.97,72.33333333333333,move,False,1
3,1,1,0,0,0,0,1.97,65.66666666666667,move,False,1
0,1,2,1,0,0,0,1.94,71.33333333333334,move,False,1
1,1,2,1,0,1,0,1.94,71.33333333333334,move,False,1
2,1,2,0,0,1,1,1.94,64.66666666666667,throw,False,2
3,1,2,0,0,0,0,1.94,64.66666666666667,move,False,1
0,1,3,2,0,1,0,1.91,77.0,move,False,2
1,1,3,0,0,1,1,1.91,63.666666666666664,throw,False,2
2,1,3,1,0,1,1,1.91,70.33333333333333,move,False,2
3,1,3,0,0,0,0,1.91,63.666666666666664,move,False,1
0,1,4,1,1,1,0,2.08,76.00000000000001,eat,False,3
1,1,4,0,0,1,1,1.88,62.666666666666664,move,False,2
2,1,4,0,1,1,1,2.08,69.33333333333334,eat,False,3
3,1,4,1,0,1,0,1.88,69.33333333333334,move,False,1
0,1,5,0,2,1,0,2.2500000000000004,75.00000000000001,eat,False,3
1,1,5,2,0,2,1,1.8499999999999999,75.0,move,False,2
2,1,5,1,1,2,1,2.0500000000000003,75.00000000000001,move,False,3
3,1,5,0,0,1,1,1.8499999999999999,61.666666666666664,throw,False,2
0,1,6,0,2,1,0,2.2200000000000006,74.00000000000003,move,False,3
1,1,6,2,0,3,2,1.8199999999999998,74.0,throw,False,2
2,1,6,1,1,2,2,2.0200000000000005,74.00000000000003,throw,False,3
3,1,6,1,0,1,1,1.8199999999999998,67.33333333333334,move,False,3
0,1,7,1,2,2,0,2.190000000000001,79.6666666666667,move,False,3
1,1,7,2,0,3,2,1.7899999999999998,73.0,move,False,3
2,1,7,0,1,2,3,1.9900000000000004,66.33333333333336,throw,False,3
3,1,7,2,0,1,1,1.7899999999999998,73.0,move,False,3
0,1,8,0,3,2,0,2.360000000000001,78.66666666666671,eat,False,3
1,1,8,1,0,3,3,1.7599999999999998,65.33333333333333,throw,False,3
2,1,8,2,1,3,3,1.9600000000000004,78.66666666666669,move,False,3
3,1,8,2,0,1,2,1.7599999999999998,71.99999999999999,throw,False,3
0,1,9,0,4,2,0,2.5300000000000016,84.33333333333339,eat,False,3
1,1,9,3,0,4,3,1.7299999999999998,77.66666666666667,move,False,3
2,1,9,1,1,3,4,1.9300000000000004,71.00000000000001,throw,False,3
3,1,9,1,0,1,3,1.7299999999999998,64.33333333333333,throw,False,3
0,1,10,0,4,2,0,2.5000000000000018,83.3333333333334,move,False,3
1,1,10,3,0,4,4,1.6999999999999997,76.66666666666666,throw,False,4
2,1,10,1,1,3,5,1.9000000000000004,70.00000000000001,throw,False,3
3,1,10,1,0,1,4,1.6999999999999997,63.33333333333333,throw,False,3
0,1,11,0,4,2,0,2.470000000000002,82.3333333333334,move,False,3
1,1,11,3,0,4,5,1.6699999999999997,75.66666666666666,throw,False,4
2,1,11,0,1,3,6,1.8700000000000003,62.33333333333335,throw,False,3
3,1,11,2,0,1,5,1.6699999999999997,69.0,throw,False,3
0,1,12,0,4,2,0,2.440000000000002,81.33333333333341,move,False,3
1,1,12,2,0,4,6,1.6399999999999997,67.99999999999999,throw,False,4
2,1,12,1,1,3,6,1.8400000000000003,68.00000000000001,move,False,3
3,1,12,2,0,1,5,1.6399999999999997,67.99999999999999,move,False,3
0,1,13,1,4,3,0,2.4100000000000024,87.00000000000009,move,False,3
1,1,13,1,0,4,7,1.6099999999999997,60.33333333333332,throw,False,4
2,1,13,1,1,3,7,1.8100000000000003,67.00000000000001,throw,False,3
3,1,13,3,0,1,5,1.6099999999999997,73.66666666666667,move,False,3
0,1,14,0,5,3,0,2.5800000000000027,86.0000000000001,eat,False,3
1,1,14,2,0,4,7,1.5799999999999996,65.99999999999999,move,False,4
2,1,14,1,1,3,8,1.7800000000000002,66.00000000000001,throw,False,3
3,1,14,2,0,1,6,1.5799999999999996,65.99999999999999,throw,False,4
0,1,15,1,5,4,0,2.550000000000003,91.66666666666677,move,False,3
1,1,15,3,0,4,7,1.5499999999999996,71.66666666666666,move,False,4
2,1,15,0,1,3,9,1.7500000000000002,58.33333333333334,throw,False,3
3,1,15,2,0,1,7,1.5499999999999996,65.0,throw,False,4
0,1,16,0,6,4,0,2.7200000000000033,90.66666666666679,eat,False,3
1,1,16,3,0,4,8,1.5199999999999996,70.66666666666666,throw,False,4
2,1,16,0,1,3,10,1.7200000000000002,57.33333333333334,throw,False,3
3,1,16,2,0,1,8,1.5199999999999996,63.999999999999986,throw,False,4
0,1,17,0,6,4,0,2.6900000000000035,89.66666666666679,move,False,3
1,1,17,2,0,4,9,1.4899999999999995,62.99999999999999,throw,False,4
2,1,17,2,1,4,10,1.6900000000000002,69.66666666666669,move,False,3
3,1,17,2,0,1,9,1.4899999999999995,62.99999999999999,throw,False,4
