agent_id,episode,step,berries,berries_consumed,berries_foraged,berries_thrown,health,wellbeing,action,dead,num_behaviours
0,1,1,0,0,0,0,1.97,65.66666666666667,move,False,1
1,1,1,0,0,0,0,1.97,65.66666666666667,move,False,1
2,1,1,1,0,1,0,1.97,72.33333333333333,move,False,1
3,1,1,0,0,0,0,1.97,65.66666666666667,move,False,1
0,1,2,1,0,0,0,1.94,71.33333333333334,move,False,1
1,1,2,1,0,1,0,1.94,71.33333333333334,move,False,1
2,1,2,0,0,1,1,1.94,64.66666666666667,throw,False,2
3,1,2,0,0,0,0,1.94,64.66666666666667,move,False,1
0,1,3,2,0,1,0,1.91,77.0,move,False,2
1,1,3,0,0,1,1,1.91,63.666666666666664,throw,False,2
2,1,3,1,0,1,1,1.91,70.33333333333333,move,False,2
3,1,3,0,0,0,0,1.91,63.666666666666664,move,False,1
0,1,4,1,0,1,1,1.88,69.33333333333334,throw,False,3
1,1,4,1,0,1,1,1.88,69.33333333333334,move,False,2
2,1,4,1,0,1,2,1.88,69.33333333333334,throw,False,2
3,1,4,0,0,0,1,1.88,62.666666666666664,throw,False,2
0,1,5,0,1,1,1,2.0500000000000003,68.33333333333334,eat,False,4
1,1,5,1,0,1,2,1.8499999999999999,68.33333333333333,throw,False,2
2,1,5,0,0,1,3,1.8499999999999999,61.666666666666664,throw,False,2
3,1,5,1,0,0,2,1.8499999999999999,68.33333333333333,throw,False,2
0,1,6,0,1,1,1,2.0200000000000005,67.33333333333336,move,False,4
1,1,6,1,0,1,3,1.8199999999999998,67.33333333333334,throw,False,2
2,1,6,1,0,1,4,1.8199999999999998,67.33333333333334,throw,False,2
3,1,6,0,0,0,3,1.8199999999999998,60.666666666666664,throw,False,2
0,1,7,1,1,2,1,1.9900000000000004,73.00000000000001,move,False,4
1,1,7,0,0,1,4,1.7899999999999998,59.666666666666664,throw,False,2
2,1,7,1,0,1,5,1.7899999999999998,66.33333333333333,throw,False,2
3,1,7,1,0,0,4,1.7899999999999998,66.33333333333333,throw,False,2
0,1,8,0,1,2,2,1.9600000000000004,65.33333333333334,throw,False,4
1,1,8,2,0,2,4,1.7599999999999998,71.99999999999999,move,False,2
2,1,8,1,0,1,6,1.7599999999999998,65.33333333333333,throw,False,2
3,1,8,1,0,0,5,1.7599999999999998,65.33333333333333,throw,False,2
0,1,9,0,1,2,2,1.9300000000000004,64.33333333333334,move,False,4
1,1,9,2,0,2,5,1.7299999999999998,71.0,throw,False,2
2,1,9,1,0,1,7,1.7299999999999998,64.33333333333333,throw,False,2
3,1,9,1,0,0,6,1.7299999999999998,64.33333333333333,throw,False,2
0,1,10,0,1,2,3,1.9000000000000004,63.33333333333335,throw,False,4
1,1,10,1,0,2,6,1.6999999999999997,63.33333333333333,throw,False,2
2,1,10,2,0,2,7,1.6999999999999997,69.99999999999999,move,False,3
3,1,10,2,0,0,7,1.6999999999999997,69.99999999999999,throw,False,2
0,1,11,1,1,3,3,1.8700000000000003,69.00000000000001,move,False,4
1,1,11,2,0,2,7,1.6699999999999997,69.0,throw,False,2
2,1,11,2,0,2,8,1.6699999999999997,69.0,throw,False,3
3,1,11,1,0,0,8,1.6699999999999997,62.33333333333332,throw,False,2
0,1,12,1,1,3,4,1.8400000000000003,68.00000000000001,throw,False,4
1,1,12,2,0,2,8,1.6399999999999997,67.99999999999999,throw,False,2
2,1,12,1,0,2,9,1.6399999999999997,61.33333333333332,throw,False,3
3,1,12,2,0,0,9,1.6399999999999997,67.99999999999999,throw,False,2
0,1,13,1,1,3,5,1.8100000000000003,67.00000000000001,throw,False,4
1,1,13,1,0,2,9,1.6099999999999997,60.33333333333332,throw,False,2
2,1,13,2,0,2,10,1.6099999999999997,67.0,throw,False,3
3,1,13,2,0,0,9,1.6099999999999997,67.0,move,False,3
0,1,14,1,1,3,6,1.7800000000000002,66.00000000000001,throw,False,4
1,1,14,1,0,2,10,1.5799999999999996,59.33333333333332,throw,False,2
2,1,14,2,0,2,11,1.5799999999999996,65.99999999999999,throw,False,3
3,1,14,2,0,0,10,1.5799999999999996,65.99999999999999,throw,False,3
0,1,15,1,1,3,7,1.7500000000000002,65.00000000000001,throw,False,4
1,1,15,2,0,2,11,1.5499999999999996,65.0,throw,False,2
2,1,15,1,0,2,12,1.5499999999999996,58.33333333333332,throw,False,3
3,1,15,2,0,0,10,1.5499999999999996,65.0,move,False,3
0,1,16,1,1,3,8,1.7200000000000002,64.00000000000001,throw,False,4
1,1,16,2,0,2,12,1.5199999999999996,63.999999999999986,throw,False,2
2,1,16,1,0,2,13,1.5199999999999996,57.33333333333332,throw,False,3
3,1,16,2,0,0,11,1.5199999999999996,63.999999999999986,throw,False,3
0,1,17,1,1,3,9,1.6900000000000002,63.00000000000001,throw,False,4
1,1,17,2,0,2,13,1.4899999999999995,62.99999999999999,throw,False,2
2,1,17,1,0,2,14,1.4899999999999995,56.33333333333332,throw,False,3
