agent_id,episode,step,berries,berries_consumed,berries_foraged,berries_thrown,health,wellbeing,action,dead,num_behaviours
0,1,1,0,0,0,0,1.97,65.66666666666667,move,False,1
1,1,1,0,0,0,0,1.97,65.66666666666667,move,False,1
2,1,1,1,0,1,0,1.97,72.33333333333333,move,False,1
3,1,1,0,0,0,0,1.97,65.66666666666667,move,False,1
0,1,2,1,0,0,0,1.94,71.33333333333334,move,False,1
1,1,2,1,0,1,0,1.94,71.33333333333334,move,False,1
2,1,2,0,0,1,1,1.94,64.66666666666667,throw,False,2
3,1,2,0,0,0,0,1.94,64.66666666666667,move,False,1
0,1,3,2,0,1,0,1.91,77.0,move,False,2
1,1,3,0,0,1,1,1.91,63.666666666666664,throw,False,2
2,1,3,1,0,1,1,1.91,70.33333333333333,move,False,2
3,1,3,0,0,0,0,1.91,63.666666666666664,move,False,1
0,1,4,1,1,1,0,2.08,76.00000000000001,eat,False,3
1,1,4,1,0,2,1,1.88,69.33333333333334,move,False,2
2,1,4,0,1,1,1,2.08,69.33333333333334,eat,False,3
3,1,4,1,0,1,0,1.88,69.33333333333334,move,False,1
0,1,5,2,1,2,0,2.0500000000000003,81.66666666666667,move,False,3
1,1,5,2,0,2,1,1.8499999999999999,75.0,move,False,3
2,1,5,1,1,2,1,2.0500000000000003,75.00000000000001,move,False,3
3,1,5,0,0,1,1,1.8499999999999999,61.666666666666664,throw,False,2
0,1,6,2,1,2,0,2.0200000000000005,80.66666666666669,move,False,3
1,1,6,1,0,2,2,1.8199999999999998,67.33333333333334,throw,False,3
2,1,6,0,1,2,2,2.0200000000000005,67.33333333333336,throw,False,3
3,1,6,2,0,1,1,1.8199999999999998,74.0,move,False,2
0,1,7,3,1,3,0,1.9900000000000004,86.33333333333336,move,False,3
1,1,7,1,0,2,3,1.7899999999999998,66.33333333333333,throw,False,3
2,1,7,0,1,2,2,1.9900000000000004,66.33333333333336,move,False,3
3,1,7,2,0,1,2,1.7899999999999998,73.0,throw,False,2
0,1,8,3,1,3,0,1.9600000000000004,85.33333333333336,move,False,4
1,1,8,0,0,2,4,1.7599999999999998,58.666666666666664,throw,False,3
2,1,8,1,1,2,2,1.9600000000000004,72.00000000000003,move,False,3
3,1,8,2,0,1,3,1.7599999999999998,71.99999999999999,throw,False,2
0,1,9,3,2,3,0,2.130000000000001,91.00000000000003,eat,False,5
1,1,9,0,0,2,5,1.7299999999999998,57.666666666666664,throw,False,3
2,1,9,0,1,2,3,1.9300000000000004,64.33333333333334,throw,False,3
3,1,9,2,0,1,4,1.7299999999999998,71.0,throw,False,2
0,1,10,3,2,3,0,2.100000000000001,90.00000000000004,move,False,5
1,1,10,1,0,2,5,1.6999999999999997,63.33333333333333,move,False,3
2,1,10,1,1,3,3,1.9000000000000004,70.00000000000001,move,False,3
3,1,10,1,0,1,5,1.6999999999999997,63.33333333333333,throw,False,2
0,1,11,4,2,4,0,2.070000000000001,95.6666666666667,move,False,5
1,1,11,2,0,2,6,1.6699999999999997,69.0,throw,False,3
2,1,11,1,1,3,4,1.8700000000000003,69.00000000000001,throw,False,3
3,1,11,0,0,1,6,1.6699999999999997,55.66666666666666,throw,False,2
0,1,12,3,3,4,0,2.2400000000000015,94.66666666666673,eat,False,5
1,1,12,2,0,2,7,1.6399999999999997,67.99999999999999,throw,False,3
2,1,12,1,1,3,5,1.8400000000000003,68.00000000000001,throw,False,3
3,1,12,0,0,1,7,1.6399999999999997,54.66666666666666,throw,False,2
0,1,13,2,4,4,0,2.410000000000002,93.66666666666673,eat,False,6
1,1,13,2,0,2,8,1.6099999999999997,67.0,throw,False,4
2,1,13,1,1,3,6,1.8100000000000003,67.00000000000001,throw,False,3
3,1,13,0,0,1,8,1.6099999999999997,53.66666666666666,throw,False,2
0,1,14,1,5,4,0,2.5800000000000023,92.66666666666676,eat,False,7
1,1,14,1,0,2,9,1.5799999999999996,59.33333333333332,throw,False,4
2,1,14,1,1,3,7,1.7800000000000002,66.00000000000001,throw,False,4
3,1,14,1,0,1,8,1.5799999999999996,59.33333333333332,move,False,3
0,1,15,0,6,4,0,2.7500000000000027,91.66666666666676,eat,False,7
1,1,15,2,0,3,9,1.5499999999999996,65.0,move,False,4
2,1,15,0,2,3,7,1.9500000000000002,65.00000000000001,eat,False,4
3,1,15,1,0,1,8,1.5499999999999996,58.33333333333332,move,False,3
0,1,16,0,6,4,0,2.720000000000003,90.66666666666677,move,False,7
1,1,16,1,0,3,10,1.5199999999999996,57.33333333333332,throw,False,4
2,1,16,0,2,3,7,1.9200000000000002,64.00000000000001,move,False,4
3,1,16,3,0,2,8,1.5199999999999996,70.66666666666666,move,False,3
0,1,17,1,6,5,0,2.690000000000003,96.33333333333344,move,False,7
1,1,17,3,0,4,10,1.4899999999999995,69.66666666666667,move,False,4
2,1,17,1,2,4,7,1.8900000000000001,69.66666666666669,move,False,4
3,1,17,2,0,2,9,1.4899999999999995,62.99999999999999,throw,False,4
