agent_id,episode,step,berries,berries_consumed,berries_thrown,health,wellbeing,action,dead,num_behaviours
0,1,1,0,0,0,1.97,65.66666666666667,move,False,1
1,1,1,1,0,0,1.97,72.33333333333333,move,False,1
2,1,1,1,0,0,1.97,72.33333333333333,move,False,1
3,1,1,1,0,0,1.97,72.33333333333333,move,False,1
0,1,2,1,0,0,1.94,71.33333333333334,move,False,2
1,1,2,0,0,1,1.94,64.66666666666667,throw,False,2
2,1,2,1,0,1,1.94,71.33333333333334,throw,False,2
3,1,2,1,0,0,1.94,71.33333333333334,move,False,2
0,1,3,2,0,0,1.91,77.0,move,False,2
1,1,3,1,0,2,1.91,70.33333333333333,throw,False,2
2,1,3,1,0,2,1.91,70.33333333333333,throw,False,2
3,1,3,0,0,1,1.91,63.666666666666664,throw,False,3
0,1,4,3,0,0,1.88,82.66666666666667,move,False,2
1,1,4,0,0,3,1.88,62.666666666666664,throw,False,2
2,1,4,1,0,3,1.88,69.33333333333334,throw,False,2
3,1,4,1,0,2,1.88,69.33333333333334,throw,False,3
0,1,5,3,0,0,1.8499999999999999,81.66666666666667,move,False,3
1,1,5,1,0,4,1.8499999999999999,68.33333333333333,throw,False,2
2,1,5,0,0,4,1.8499999999999999,61.666666666666664,throw,False,2
3,1,5,1,0,3,1.8499999999999999,68.33333333333333,throw,False,3
0,1,6,2,0,1,1.8199999999999998,74.0,throw,False,4
1,1,6,1,0,5,1.8199999999999998,67.33333333333334,throw,False,2
2,1,6,1,0,4,1.8199999999999998,67.33333333333334,move,False,3
3,1,6,1,0,4,1.8199999999999998,67.33333333333334,throw,False,3
0,1,7,2,0,2,1.7899999999999998,73.0,throw,False,5
1,1,7,2,0,5,1.7899999999999998,73.0,move,False,3
2,1,7,0,0,5,1.7899999999999998,59.666666666666664,throw,False,3
3,1,7,2,0,4,1.7899999999999998,73.0,move,False,3
0,1,8,3,0,2,1.7599999999999998,78.66666666666667,move,False,5
1,1,8,2,0,6,1.7599999999999998,71.99999999999999,throw,False,3
2,1,8,0,0,6,1.7599999999999998,58.666666666666664,throw,False,3
3,1,8,2,0,5,1.7599999999999998,71.99999999999999,throw,False,3
0,1,9,3,0,2,1.7299999999999998,77.66666666666667,move,False,5
1,1,9,2,0,7,1.7299999999999998,71.0,throw,False,3
2,1,9,0,0,7,1.7299999999999998,57.666666666666664,throw,False,3
3,1,9,2,0,6,1.7299999999999998,71.0,throw,False,3
0,1,10,2,0,3,1.6999999999999997,69.99999999999999,throw,False,5
1,1,10,2,0,8,1.6999999999999997,69.99999999999999,throw,False,3
2,1,10,1,0,8,1.6999999999999997,63.33333333333333,throw,False,3
3,1,10,2,0,7,1.6999999999999997,69.99999999999999,throw,False,3
0,1,11,3,0,3,1.6699999999999997,75.66666666666666,move,False,5
1,1,11,1,0,9,1.6699999999999997,62.33333333333332,throw,False,3
2,1,11,2,0,8,1.6699999999999997,69.0,move,False,3
3,1,11,1,0,8,1.6699999999999997,62.33333333333332,throw,False,3
0,1,12,4,0,3,1.6399999999999997,81.33333333333331,move,False,5
1,1,12,2,0,10,1.6399999999999997,67.99999999999999,throw,False,3
2,1,12,2,0,9,1.6399999999999997,67.99999999999999,throw,False,3
3,1,12,0,0,9,1.6399999999999997,54.66666666666666,throw,False,3
0,1,13,3,0,4,1.6099999999999997,73.66666666666667,throw,False,6
1,1,13,2,0,11,1.6099999999999997,67.0,throw,False,3
2,1,13,1,0,10,1.6099999999999997,60.33333333333332,throw,False,3
3,1,13,2,0,10,1.6099999999999997,67.0,throw,False,3
0,1,14,2,0,5,1.5799999999999996,65.99999999999999,throw,False,6
1,1,14,1,0,12,1.5799999999999996,59.33333333333332,throw,False,3
2,1,14,2,0,10,1.5799999999999996,65.99999999999999,wait,False,4
3,1,14,3,0,10,1.5799999999999996,72.66666666666666,move,False,4
0,1,15,2,0,6,1.5499999999999996,65.0,throw,False,6
1,1,15,2,0,12,1.5499999999999996,65.0,move,False,3
2,1,15,2,0,11,1.5499999999999996,65.0,throw,False,5
3,1,15,2,0,11,1.5499999999999996,65.0,throw,False,5
0,1,16,2,0,6,1.5199999999999996,63.999999999999986,move,False,6
1,1,16,3,0,12,1.5199999999999996,70.66666666666666,move,False,3
2,1,16,1,0,12,1.5199999999999996,57.33333333333332,throw,False,5
3,1,16,2,0,12,1.5199999999999996,63.999999999999986,throw,False,5
0,1,17,2,0,6,1.4899999999999995,62.99999999999999,move,False,6
1,1,17,2,0,13,1.4899999999999995,62.99999999999999,throw,False,4
2,1,17,2,1,12,1.6899999999999995,69.66666666666664,eat,False,6
3,1,17,1,0,13,1.4899999999999995,56.33333333333332,throw,False,5
0,1,18,2,0,6,1.4599999999999995,61.999999999999986,move,False,7
1,1,18,2,0,14,1.4599999999999995,61.999999999999986,throw,False,5
2,1,18,1,1,13,1.6599999999999995,61.999999999999986,throw,False,6
3,1,18,2,0,14,1.4599999999999995,61.999999999999986,throw,False,6
0,1,19,1,0,7,1.4299999999999995,54.333333333333314,throw,False,8
1,1,19,2,0,15,1.4299999999999995,60.99999999999999,throw,False,5
2,1,19,0,1,14,1.6299999999999994,54.333333333333314,throw,False,7
3,1,19,4,0,14,1.4299999999999995,74.33333333333331,move,False,7
0,1,20,1,0,8,1.3999999999999995,53.333333333333314,throw,False,8
1,1,20,2,0,16,1.3999999999999995,59.99999999999998,throw,False,6
2,1,20,0,1,14,1.5999999999999994,53.333333333333314,wait,False,8
3,1,20,4,0,15,1.3999999999999995,73.33333333333331,throw,False,8
0,1,21,1,0,9,1.3699999999999994,52.333333333333314,throw,False,8
1,1,21,2,0,17,1.3699999999999994,58.999999999999986,throw,False,6
2,1,21,0,1,14,1.5699999999999994,52.333333333333314,move,False,9
3,1,21,4,0,16,1.3699999999999994,72.33333333333331,throw,False,8
0,1,22,2,0,10,1.3399999999999994,57.99999999999998,throw,False,8
1,1,22,1,0,18,1.3399999999999994,51.333333333333314,throw,False,6
2,1,22,0,1,14,1.5399999999999994,51.333333333333314,move,False,9
3,1,22,4,0,17,1.3399999999999994,71.33333333333333,throw,False,8
0,1,23,2,0,10,1.3099999999999994,56.999999999999986,move,False,9
1,1,23,1,0,19,1.3099999999999994,50.333333333333314,throw,False,6
2,1,23,1,1,14,1.5099999999999993,56.99999999999998,move,False,9
3,1,23,3,0,18,1.3099999999999994,63.66666666666665,throw,False,8
0,1,24,1,1,10,1.4799999999999993,55.99999999999998,eat,False,10
1,1,24,3,0,19,1.2799999999999994,62.66666666666665,move,False,7
2,1,24,1,1,15,1.4799999999999993,55.99999999999998,throw,False,9
3,1,24,2,0,19,1.2799999999999994,55.99999999999998,throw,False,8
0,1,25,3,1,10,1.4499999999999993,68.33333333333331,move,False,10
1,1,25,3,0,20,1.2499999999999993,61.66666666666665,throw,False,8
2,1,25,1,1,16,1.4499999999999993,54.99999999999998,throw,False,10
3,1,25,1,0,20,1.2499999999999993,48.333333333333314,throw,False,9
0,1,26,3,1,10,1.4199999999999993,67.33333333333333,move,False,11
1,1,26,3,0,21,1.2199999999999993,60.66666666666665,throw,False,9
2,1,26,0,1,17,1.4199999999999993,47.33333333333331,throw,False,10
3,1,26,2,0,21,1.2199999999999993,53.99999999999998,throw,False,9
0,1,27,2,2,10,1.5899999999999992,66.33333333333331,eat,False,12
1,1,27,2,0,22,1.1899999999999993,52.999999999999986,throw,False,9
2,1,27,1,1,17,1.3899999999999992,52.99999999999997,wait,False,11
3,1,27,2,0,22,1.1899999999999993,52.999999999999986,throw,False,9
0,1,28,3,2,10,1.5599999999999992,71.99999999999997,move,False,13
1,1,28,2,0,23,1.1599999999999993,51.99999999999997,throw,False,9
2,1,28,0,1,18,1.3599999999999992,45.33333333333331,throw,False,11
3,1,28,2,1,22,1.3599999999999992,58.66666666666665,eat,False,10
0,1,29,3,2,10,1.5299999999999991,70.99999999999997,move,False,13
1,1,29,1,1,23,1.3299999999999992,50.99999999999997,eat,False,10
2,1,29,0,1,19,1.3299999999999992,44.33333333333331,throw,False,11
3,1,29,2,1,23,1.3299999999999992,57.666666666666636,throw,False,10
0,1,30,2,3,10,1.699999999999999,69.99999999999997,eat,False,14
1,1,30,1,1,23,1.2999999999999992,49.99999999999997,wait,False,11
2,1,30,1,1,19,1.2999999999999992,49.99999999999997,move,False,12
3,1,30,1,1,24,1.2999999999999992,49.99999999999997,throw,False,10
0,1,31,3,3,10,1.669999999999999,75.66666666666664,move,False,15
1,1,31,0,1,24,1.2699999999999991,42.33333333333331,throw,False,11
2,1,31,2,1,19,1.2699999999999991,55.666666666666636,move,False,13
3,1,31,1,1,25,1.2699999999999991,48.99999999999997,throw,False,10
0,1,32,3,3,10,1.639999999999999,74.66666666666664,move,False,15
1,1,32,0,1,25,1.239999999999999,41.33333333333331,throw,False,11
2,1,32,2,1,20,1.239999999999999,54.66666666666664,throw,False,13
3,1,32,1,1,26,1.239999999999999,47.99999999999997,throw,False,10
0,1,33,4,3,10,1.609999999999999,80.33333333333331,move,False,15
1,1,33,1,1,26,1.209999999999999,46.99999999999997,throw,False,11
2,1,33,2,1,21,1.209999999999999,53.666666666666636,throw,False,13
