agent_id,episode,step,berries,berries_consumed,berries_foraged,berries_thrown,health,wellbeing,action,dead,num_behaviours
0,1,1,0,0,0,0,1.97,65.66666666666667,move,False,1
1,1,1,1,0,1,0,1.97,72.33333333333333,move,False,1
2,1,1,1,0,1,0,1.97,72.33333333333333,move,False,1
3,1,1,1,0,1,0,1.97,72.33333333333333,move,False,1
0,1,2,1,0,0,0,1.94,71.33333333333334,move,False,2
1,1,2,0,0,1,1,1.94,64.66666666666667,throw,False,2
2,1,2,1,0,1,1,1.94,71.33333333333334,throw,False,2
3,1,2,1,0,1,0,1.94,71.33333333333334,move,False,2
0,1,3,2,0,1,0,1.91,77.0,move,False,2
1,1,3,1,0,1,2,1.91,70.33333333333333,throw,False,2
2,1,3,1,0,1,2,1.91,70.33333333333333,throw,False,2
3,1,3,0,0,1,1,1.91,63.666666666666664,throw,False,3
0,1,4,3,0,2,0,1.88,82.66666666666667,move,False,2
1,1,4,0,0,1,3,1.88,62.666666666666664,throw,False,2
2,1,4,1,0,1,3,1.88,69.33333333333334,throw,False,2
3,1,4,1,0,1,2,1.88,69.33333333333334,throw,False,3
0,1,5,2,0,2,1,1.8499999999999999,75.0,throw,False,3
1,1,5,1,0,1,4,1.8499999999999999,68.33333333333333,throw,False,2
2,1,5,1,0,1,4,1.8499999999999999,68.33333333333333,throw,False,2
3,1,5,1,0,1,3,1.8499999999999999,68.33333333333333,throw,False,3
0,1,6,2,0,2,1,1.8199999999999998,74.0,move,False,3
1,1,6,2,0,2,4,1.8199999999999998,74.0,move,False,3
2,1,6,1,0,1,4,1.8199999999999998,67.33333333333334,move,False,3
3,1,6,1,0,1,3,1.8199999999999998,67.33333333333334,move,False,3
0,1,7,3,0,3,1,1.7899999999999998,79.66666666666666,move,False,3
1,1,7,2,0,2,5,1.7899999999999998,73.0,throw,False,3
2,1,7,1,0,1,5,1.7899999999999998,66.33333333333333,throw,False,3
3,1,7,1,0,1,4,1.7899999999999998,66.33333333333333,throw,False,3
0,1,8,2,0,3,2,1.7599999999999998,71.99999999999999,throw,False,3
1,1,8,2,0,2,6,1.7599999999999998,71.99999999999999,throw,False,3
2,1,8,2,0,1,6,1.7599999999999998,71.99999999999999,throw,False,4
3,1,8,2,0,2,4,1.7599999999999998,71.99999999999999,move,False,3
0,1,9,1,1,3,2,1.9299999999999997,71.0,eat,False,4
1,1,9,3,0,2,6,1.7299999999999998,77.66666666666667,move,False,3
2,1,9,1,0,1,7,1.7299999999999998,64.33333333333333,throw,False,4
3,1,9,2,0,2,5,1.7299999999999998,71.0,throw,False,3
0,1,10,1,1,3,2,1.8999999999999997,69.99999999999999,move,False,4
1,1,10,3,0,2,7,1.6999999999999997,76.66666666666666,throw,False,4
2,1,10,1,0,1,8,1.6999999999999997,63.33333333333333,throw,False,4
3,1,10,2,0,2,6,1.6999999999999997,69.99999999999999,throw,False,3
0,1,11,0,1,3,3,1.8699999999999997,62.33333333333332,throw,False,5
1,1,11,3,0,2,8,1.6699999999999997,75.66666666666666,throw,False,4
2,1,11,2,0,1,8,1.6699999999999997,69.0,move,False,4
