agent_id,episode,step,berries,berries_consumed,berries_foraged,berries_thrown,health,wellbeing,action,dead,num_behaviours
0,1,1,0,0,0,0,1.97,65.66666666666667,move,False,1
1,1,1,0,0,0,0,1.97,65.66666666666667,move,False,1
2,1,1,1,0,1,0,1.97,72.33333333333333,move,False,1
3,1,1,0,0,0,0,1.97,65.66666666666667,move,False,1
0,1,2,1,0,0,0,1.94,71.33333333333334,move,False,1
1,1,2,1,0,1,0,1.94,71.33333333333334,move,False,1
2,1,2,0,0,1,1,1.94,64.66666666666667,throw,False,2
3,1,2,0,0,0,0,1.94,64.66666666666667,move,False,1
0,1,3,0,1,0,0,2.1100000000000003,70.33333333333334,eat,False,2
1,1,3,0,0,1,1,1.91,63.666666666666664,throw,False,2
2,1,3,1,0,1,1,1.91,70.33333333333333,move,False,2
3,1,3,0,0,0,0,1.91,63.666666666666664,move,False,1
0,1,4,1,1,1,0,2.0800000000000005,76.00000000000003,move,False,2
1,1,4,0,0,1,2,1.88,62.666666666666664,throw,False,2
2,1,4,1,0,1,2,1.88,69.33333333333334,throw,False,2
3,1,4,0,0,0,0,1.88,62.666666666666664,move,False,1
0,1,5,0,2,1,0,2.250000000000001,75.00000000000003,eat,False,2
1,1,5,1,0,1,2,1.8499999999999999,68.33333333333333,move,False,2
2,1,5,0,0,1,3,1.8499999999999999,61.666666666666664,throw,False,2
3,1,5,1,0,1,0,1.8499999999999999,68.33333333333333,move,False,1
0,1,6,0,2,1,0,2.220000000000001,74.00000000000004,move,False,2
1,1,6,1,0,1,3,1.8199999999999998,67.33333333333334,throw,False,2
2,1,6,1,0,1,4,1.8199999999999998,67.33333333333334,throw,False,2
3,1,6,0,0,1,1,1.8199999999999998,60.666666666666664,throw,False,2
0,1,7,1,2,2,0,2.1900000000000013,79.66666666666671,move,False,2
1,1,7,0,0,1,4,1.7899999999999998,59.666666666666664,throw,False,2
2,1,7,1,0,1,5,1.7899999999999998,66.33333333333333,throw,False,2
3,1,7,1,0,1,2,1.7899999999999998,66.33333333333333,throw,False,2
0,1,8,0,3,2,0,2.3600000000000017,78.66666666666673,eat,False,2
1,1,8,2,0,2,4,1.7599999999999998,71.99999999999999,move,False,2
2,1,8,0,0,1,6,1.7599999999999998,58.666666666666664,throw,False,2
3,1,8,1,0,1,3,1.7599999999999998,65.33333333333333,throw,False,2
0,1,9,0,3,2,0,2.330000000000002,77.66666666666673,move,False,2
1,1,9,1,0,2,5,1.7299999999999998,64.33333333333333,throw,False,2
2,1,9,1,0,1,7,1.7299999999999998,64.33333333333333,throw,False,2
3,1,9,2,0,2,4,1.7299999999999998,71.0,throw,False,2
0,1,10,1,3,3,0,2.300000000000002,83.33333333333341,move,False,2
1,1,10,1,0,2,6,1.6999999999999997,63.33333333333333,throw,False,2
2,1,10,1,0,1,8,1.6999999999999997,63.33333333333333,throw,False,2
3,1,10,2,0,2,5,1.6999999999999997,69.99999999999999,throw,False,2
0,1,11,0,4,3,0,2.4700000000000024,82.33333333333341,eat,False,2
1,1,11,2,0,2,7,1.6699999999999997,69.0,throw,False,2
2,1,11,0,0,1,9,1.6699999999999997,55.66666666666666,throw,False,2
3,1,11,2,0,2,6,1.6699999999999997,69.0,throw,False,2
0,1,12,1,4,4,0,2.4400000000000026,88.0000000000001,move,False,2
1,1,12,1,0,2,8,1.6399999999999997,61.33333333333332,throw,False,2
2,1,12,2,0,2,9,1.6399999999999997,67.99999999999999,move,False,2
3,1,12,2,0,2,7,1.6399999999999997,67.99999999999999,throw,False,2
0,1,13,0,5,4,0,2.610000000000003,87.0000000000001,eat,False,2
1,1,13,2,0,2,8,1.6099999999999997,67.0,move,False,3
2,1,13,1,0,2,10,1.6099999999999997,60.33333333333332,throw,False,2
3,1,13,2,0,2,7,1.6099999999999997,67.0,move,False,3
0,1,14,0,5,4,0,2.580000000000003,86.00000000000011,move,False,2
1,1,14,1,0,2,9,1.5799999999999996,59.33333333333332,throw,False,3
2,1,14,2,0,2,11,1.5799999999999996,65.99999999999999,throw,False,2
3,1,14,2,0,2,8,1.5799999999999996,65.99999999999999,throw,False,3
0,1,15,0,5,4,0,2.5500000000000034,85.00000000000011,move,False,2
1,1,15,2,0,2,9,1.5499999999999996,65.0,move,False,3
2,1,15,1,0,2,12,1.5499999999999996,58.33333333333332,throw,False,2
3,1,15,2,0,2,8,1.5499999999999996,65.0,move,False,3
0,1,16,1,5,5,0,2.5200000000000036,90.6666666666668,move,False,2
1,1,16,2,0,2,10,1.5199999999999996,63.999999999999986,throw,False,3
2,1,16,1,0,2,13,1.5199999999999996,57.33333333333332,throw,False,2
3,1,16,2,0,2,9,1.5199999999999996,63.999999999999986,throw,False,3
0,1,17,0,6,5,0,2.690000000000004,89.6666666666668,eat,False,2
1,1,17,2,0,2,11,1.4899999999999995,62.99999999999999,throw,False,3
2,1,17,1,0,2,14,1.4899999999999995,56.33333333333332,throw,False,2
3,1,17,2,0,2,10,1.4899999999999995,62.99999999999999,throw,False,3
