episode,behaviour,first_seen,last_seen,times_emerged,max_adoption
1,"IF,no berries,high health,medium society wellbeing,THEN,move",0,74,75,1.0
1,"IF,low berries,high health,medium society wellbeing,THEN,throw",2,3,2,0.75
1,"IF,medium berries,medium health,medium society wellbeing,THEN,throw",5,74,70,0.75
1,"IF,medium berries,low health,medium society wellbeing,THEN,eat",18,74,57,0.75
1,"IF,low berries,medium health,low society wellbeing,THEN,throw",19,74,56,0.75
1,"IF,no berries,medium health,low society wellbeing,THEN,move",29,74,46,0.75
1,"IF,low berries,low health,low society wellbeing,THEN,eat",30,74,45,0.75
1,"IF,medium berries,medium health,low society wellbeing,THEN,throw",33,74,42,0.75
1,"IF,low berries,medium health,medium society wellbeing,THEN,throw",52,73,22,0.75
1,"IF,no berries,low health,low society wellbeing,THEN,move",65,74,10,0.75
