agent_id,episode,step,berries,berries_consumed,berries_foraged,berries_thrown,health,wellbeing,action,dead,num_behaviours
0,1,0,1,0,1,0,0.94,21.5,move,False,1
1,1,0,1,0,1,0,0.94,21.5,move,False,1
2,1,0,0,0,0,0,0.94,15.666666666666666,move,False,1
3,1,0,0,0,0,0,0.94,15.666666666666666,move,False,1
0,1,1,0,1,1,0,1.23,20.5,eat,False,2
1,1,1,0,1,1,0,1.23,20.5,eat,False,2
2,1,1,1,0,1,0,0.8799999999999999,20.5,move,False,1
3,1,1,1,0,1,0,0.8799999999999999,20.5,move,False,1
0,1,2,0,1,1,0,1.17,19.5,move,False,2
1,1,2,0,1,1,0,1.17,19.5,move,False,2
2,1,2,0,1,1,0,1.17,19.5,eat,False,2
3,1,2,0,1,1,0,1.17,19.5,eat,False,2
0,1,3,0,1,1,0,1.1099999999999999,18.5,move,False,2
1,1,3,0,1,1,0,1.1099999999999999,18.5,move,False,2
2,1,3,0,1,1,0,1.1099999999999999,18.5,move,False,2
3,1,3,0,1,1,0,1.1099999999999999,18.5,move,False,2
0,1,4,1,1,2,0,1.0499999999999998,23.333333333333332,move,False,2
1,1,4,0,1,1,0,1.0499999999999998,17.499999999999996,move,False,2
2,1,4,1,1,2,0,1.0499999999999998,23.333333333333332,move,False,2
3,1,4,1,1,2,0,1.0499999999999998,23.333333333333332,move,False,2
0,1,5,0,2,2,0,1.3399999999999999,22.333333333333332,eat,False,2
1,1,5,1,1,2,0,0.9899999999999998,22.333333333333332,move,False,2
2,1,5,0,2,2,0,1.3399999999999999,22.333333333333332,eat,False,2
3,1,5,0,2,2,0,1.3399999999999999,22.333333333333332,eat,False,2
0,1,6,1,2,3,0,1.2799999999999998,27.166666666666664,move,False,2
1,1,6,0,2,2,0,1.2799999999999998,21.333333333333332,eat,False,2
2,1,6,0,2,2,0,1.2799999999999998,21.333333333333332,move,False,2
3,1,6,0,2,2,0,1.2799999999999998,21.333333333333332,move,False,2
0,1,7,2,2,4,0,1.2199999999999998,31.999999999999996,move,False,3
1,1,7,0,2,2,0,1.2199999999999998,20.33333333333333,move,False,2
2,1,7,0,2,2,0,1.2199999999999998,20.33333333333333,move,False,2
3,1,7,0,2,2,0,1.2199999999999998,20.33333333333333,move,False,2
0,1,8,1,3,4,0,1.5099999999999998,31.0,eat,False,4
1,1,8,0,2,2,0,1.1599999999999997,19.33333333333333,move,False,2
2,1,8,1,2,3,0,1.1599999999999997,25.166666666666664,move,False,2
3,1,8,1,2,3,0,1.1599999999999997,25.166666666666664,move,False,2
0,1,9,0,4,4,0,1.7999999999999998,29.999999999999996,eat,False,4
1,1,9,1,2,3,0,1.0999999999999996,24.166666666666664,move,False,2
2,1,9,0,3,3,0,1.4499999999999997,24.166666666666664,eat,False,2
3,1,9,0,3,3,0,1.4499999999999997,24.166666666666664,eat,False,2
0,1,10,1,4,5,0,1.7399999999999998,34.833333333333336,move,False,4
1,1,10,0,3,3,0,1.3899999999999997,23.16666666666666,eat,False,2
2,1,10,1,3,4,0,1.3899999999999997,28.999999999999996,move,False,2
3,1,10,0,3,3,0,1.3899999999999997,23.16666666666666,move,False,2
0,1,11,1,4,5,0,1.6799999999999997,33.83333333333333,move,False,4
1,1,11,0,3,3,0,1.3299999999999996,22.16666666666666,move,False,2
2,1,11,0,4,4,0,1.6799999999999997,27.999999999999996,eat,False,2
3,1,11,1,3,4,0,1.3299999999999996,27.999999999999996,move,False,2
0,1,12,0,5,5,0,1.9699999999999998,32.83333333333333,eat,False,4
1,1,12,0,3,3,0,1.2699999999999996,21.16666666666666,move,False,2
2,1,12,0,4,4,0,1.6199999999999997,26.999999999999996,move,False,2
3,1,12,0,4,4,0,1.6199999999999997,26.999999999999996,eat,False,2
0,1,13,1,5,6,0,1.9099999999999997,37.666666666666664,move,False,4
1,1,13,0,3,3,0,1.2099999999999995,20.16666666666666,move,False,2
2,1,13,0,4,4,0,1.5599999999999996,25.999999999999993,move,False,2
3,1,13,0,4,4,0,1.5599999999999996,25.999999999999993,move,False,2
0,1,14,0,6,6,0,2.1999999999999997,36.666666666666664,eat,False,4
1,1,14,0,3,3,0,1.1499999999999995,19.166666666666657,move,False,2
2,1,14,0,4,4,0,1.4999999999999996,24.999999999999993,move,False,2
3,1,14,0,4,4,0,1.4999999999999996,24.999999999999993,move,False,2
0,1,15,0,6,6,0,2.1399999999999997,35.666666666666664,move,False,4
1,1,15,0,3,3,0,1.0899999999999994,18.166666666666657,move,False,2
2,1,15,0,4,4,0,1.4399999999999995,23.999999999999993,move,False,2
3,1,15,1,4,5,0,1.4399999999999995,29.83333333333333,move,False,2
0,1,16,0,6,6,0,2.0799999999999996,34.666666666666664,move,False,4
1,1,16,0,3,3,0,1.0299999999999994,17.166666666666657,move,False,2
2,1,16,0,4,4,0,1.3799999999999994,22.999999999999993,move,False,2
3,1,16,0,5,5,0,1.7299999999999995,28.833333333333325,eat,False,2
0,1,17,0,6,6,0,2.0199999999999996,33.666666666666664,move,False,4
1,1,17,0,3,3,0,0.9699999999999993,16.166666666666657,move,False,2
2,1,17,0,4,4,0,1.3199999999999994,21.99999999999999,move,False,2
3,1,17,1,5,6,0,1.6699999999999995,33.666666666666664,move,False,2
0,1,18,0,6,6,0,1.9599999999999995,32.66666666666666,move,False,4
1,1,18,0,3,3,0,0.9099999999999993,15.166666666666655,move,False,2
2,1,18,1,4,5,0,1.2599999999999993,26.833333333333325,move,False,2
3,1,18,0,6,6,0,1.9599999999999995,32.66666666666666,eat,False,2
0,1,19,0,6,6,0,1.8999999999999995,31.666666666666657,move,False,4
1,1,19,1,3,4,0,0.8499999999999992,19.99999999999999,move,False,2
2,1,19,0,5,5,0,1.5499999999999994,25.833333333333325,eat,False,2
3,1,19,1,6,7,0,1.8999999999999995,37.49999999999999,move,False,2
0,1,20,0,6,6,0,1.8399999999999994,30.666666666666657,move,False,4
1,1,20,0,4,4,0,1.1399999999999992,18.99999999999999,eat,False,2
2,1,20,1,5,6,0,1.4899999999999993,30.666666666666657,move,False,2
3,1,20,0,7,7,0,2.1899999999999995,36.49999999999999,eat,False,2
0,1,21,0,6,6,0,1.7799999999999994,29.666666666666657,move,False,4
1,1,21,0,4,4,0,1.0799999999999992,17.999999999999986,move,False,2
2,1,21,0,6,6,0,1.7799999999999994,29.666666666666657,eat,False,2
