episode,behaviour,first_seen,last_seen,times_emerged,max_adoption
1,"IF,no berries,high health,medium society wellbeing,THEN,move",0,74,75,1.0
1,"IF,low berries,high health,medium society wellbeing,THEN,throw",1,74,74,0.75
1,"IF,low berries,medium health,medium society wellbeing,THEN,throw",6,74,69,0.75
1,"IF,medium berries,medium health,medium society wellbeing,THEN,throw",8,74,67,0.75
1,"IF,medium berries,medium health,low society wellbeing,THEN,throw",9,74,66,0.75
1,"IF,medium berries,low health,low society wellbeing,THEN,eat",13,74,62,0.75
1,"IF,medium berries,low health,medium society wellbeing,THEN,eat",18,74,57,0.75
1,"IF,low berries,medium health,low society wellbeing,THEN,throw",20,74,55,0.75
1,"IF,no berries,medium health,low society wellbeing,THEN,move",26,74,49,0.75
1,"IF,low berries,low health,low society wellbeing,THEN,eat",31,74,44,0.75
1,"IF,no berries,low health,low society wellbeing,THEN,move",35,74,40,0.75
