prompt,rule,seed,move,eat,throw,move_prop,eat_prop,throw_prop
baseline,selfish,1,58,17,0,0.7733333333333333,0.22666666666666666,0.0
baseline,selfish,10,64,11,0,0.8533333333333334,0.14666666666666667,0.0
baseline,selfish,2,52,23,0,0.6933333333333334,0.30666666666666664,0.0
baseline,selfish,3,51,24,0,0.68,0.32,0.0
baseline,selfish,4,60,15,0,0.8,0.2,0.0
baseline,selfish,5,54,21,0,0.72,0.28,0.0
baseline,selfish,6,64,11,0,0.8533333333333334,0.14666666666666667,0.0
baseline,selfish,7,53,22,0,0.7066666666666667,0.29333333333333333,0.0
baseline,selfish,8,53,22,0,0.7066666666666667,0.29333333333333333,0.0
baseline,selfish,9,65,10,0,0.8666666666666667,0.13333333333333333,0.0
baseline,selfless,1,54,21,0,0.72,0.28,0.0
baseline,selfless,10,52,23,0,0.6933333333333334,0.30666666666666664,0.0
baseline,selfless,2,53,22,0,0.7066666666666667,0.29333333333333333,0.0
baseline,selfless,3,51,24,0,0.68,0.32,0.0
baseline,selfless,4,50,22,2,0.6666666666666666,0.29333333333333333,0.02666666666666667
baseline,selfless,5,51,24,0,0.68,0.32,0.0
baseline,selfless,6,53,22,0,0.7066666666666667,0.29333333333333333,0.0
baseline,selfless,7,54,21,0,0.72,0.28,0.0
baseline,selfless,8,54,20,1,0.72,0.26666666666666666,0.013333333333333334
baseline,selfless,9,47,28,0,0.6266666666666667,0.37333333333333335,0.0
baseline,utilitarian,1,47,28,0,0.6266666666666667,0.37333333333333335,0.0
baseline,utilitarian,10,56,19,0,0.7466666666666667,0.25333333333333335,0.0
baseline,utilitarian,2,53,22,0,0.7066666666666667,0.29333333333333333,0.0
baseline,utilitarian,3,52,21,1,0.6933333333333334,0.28,0.013333333333333334
baseline,utilitarian,4,53,22,0,0.7066666666666667,0.29333333333333333,0.0
baseline,utilitarian,5,56,19,0,0.7466666666666667,0.25333333333333335,0.0
baseline,utilitarian,6,47,26,2,0.6266666666666667,0.3466666666666667,0.02666666666666667
baseline,utilitarian,7,51,22,2,0.68,0.29333333333333333,0.02666666666666667
baseline,utilitarian,8,52,23,0,0.6933333333333334,0.30666666666666664,0.0
baseline,utilitarian,9,51,23,1,0.68,0.30666666666666664,0.013333333333333334
cooperative,selfish,1,51,15,9,0.68,0.2,0.12
cooperative,selfish,10,58,13,4,0.7733333333333333,0.17333333333333334,0.05333333333333334
cooperative,selfish,2,54,16,5,0.72,0.21333333333333335,0.06666666666666667
cooperative,selfish,3,54,17,4,0.72,0.22666666666666666,0.05333333333333334
