prompt,rule,seed,mean_wellbeing,deaths,gini,mean_health,emerged_norms
baseline,selfish,1,2.7125000000000004,0,0.0528169014084507,2.7125000000000004,4.0
baseline,selfish,10,1.1374999999999973,0,0.0896226415094338,1.1374999999999973,4.0
baseline,selfish,2,2.7124999999999986,0,0.0880281690140845,2.7124999999999986,4.0
baseline,selfish,3,3.2375,0,0.0941558441558441,3.2375,4.0
baseline,selfish,4,1.3999999999999972,0,0.0267857142857141,1.3999999999999972,4.0
baseline,selfish,5,3.8499999999999983,0,0.0178571428571427,3.8499999999999983,4.0
baseline,selfish,6,1.3124999999999971,0,0.0863636363636364,1.3124999999999971,5.0
baseline,selfish,7,4.200000000000002,0,0.0625,4.200000000000002,4.0
baseline,selfish,8,3.4124999999999988,0,0.0474683544303797,3.4124999999999988,4.0
baseline,selfish,9,1.399999999999998,1,0.1428571428571428,1.399999999999998,6.0
baseline,selfless,1,1.2249999999999994,0,0.1388888888888888,1.2249999999999994,9.0
baseline,selfless,10,1.4,0,0.1607142857142858,1.4,10.0
baseline,selfless,2,1.2249999999999996,1,0.2205882352941177,1.2249999999999996,7.0
baseline,selfless,3,1.4000000000000026,1,0.1875,1.4000000000000026,9.0
baseline,selfless,4,1.3124999999999991,0,0.1499999999999999,1.3124999999999991,7.0
baseline,selfless,5,1.3125000000000009,2,0.1954545454545455,1.3125000000000009,7.0
baseline,selfless,6,1.3124999999999998,0,0.1499999999999999,1.3124999999999998,10.0
baseline,selfless,7,1.2250000000000003,0,0.1388888888888888,1.2250000000000003,7.0
baseline,selfless,8,1.137499999999999,0,0.1273584905660376,1.137499999999999,8.0
baseline,selfless,9,1.8375000000000008,0,0.209016393442623,1.8375000000000008,9.0
baseline,utilitarian,1,1.8375000000000017,0,0.209016393442623,1.8375000000000017,10.0
baseline,utilitarian,10,0.9624999999999992,1,0.1683673469387754,0.9624999999999992,9.0
baseline,utilitarian,2,1.3124999999999996,0,0.1499999999999999,1.3124999999999996,8.0
baseline,utilitarian,3,1.0500000000000025,2,0.1999999999999999,1.0500000000000025,10.0
baseline,utilitarian,4,1.312500000000001,0,0.1499999999999999,1.312500000000001,8.0
baseline,utilitarian,5,0.8749999999999993,2,0.1399999999999999,0.8749999999999993,10.0
baseline,utilitarian,6,1.6625000000000016,0,0.1906779661016948,1.6625000000000016,10.0
baseline,utilitarian,7,1.1375000000000013,2,0.2295918367346938,1.1375000000000013,9.0
baseline,utilitarian,8,1.4000000000000004,0,0.1607142857142858,1.4000000000000004,6.0
baseline,utilitarian,9,1.4000000000000017,0,0.1607142857142858,1.4000000000000017,10.0
cooperative,selfish,1,2.537499999999998,0,0.0471014492753623,2.537499999999998,4.0
cooperative,selfish,10,2.624999999999999,0,0.1285714285714285,2.624999999999999,4.0
cooperative,selfish,2,3.0624999999999973,0,0.05,3.0624999999999973,4.0
cooperative,selfish,3,2.975,0,0.0472972972972973,2.975,4.0
cooperative,selfish,4,4.375000000000006,0,0.0777777777777777,4.375000000000006,4.0
cooperative,selfish,5,2.274999999999999,0,0.1060606060606059,2.274999999999999,4.0
cooperative,selfish,6,2.537499999999997,0,0.068840579710145,2.537499999999997,4.0
cooperative,selfish,7,3.2374999999999985,0,0.0811688311688312,3.2374999999999985,4.0
