,,total_wellbeing,total_wellbeing,gini_wellbeing,gini_wellbeing,episode_length,episode_length,num_emerged_norms,num_emerged_norms
,,mean,std,mean,std,mean,std,mean,std
prompt,rule,,,,,,,,
None,selfish,172.08333333333326,73.18192492550666,0.2000109532904732,0.08354206111817694,74.0,0.0,4.1,0.31622776601683794
None,selfless,37.33333333333331,8.340737451482802,0.20119047619047628,0.1323443932426928,74.0,0.0,9.2,0.7888106377466156
None,utilitarian,36.74999999999998,7.301382416035003,0.16666666666666674,0.11135885079684346,74.0,0.0,9.3,1.4181364924121764
baseline,selfish,174.41666666666657,79.29186007449998,0.19906718911363255,0.15414050878497484,74.0,0.0,4.3,0.674948557710553
baseline,selfless,101.50000000000003,14.075414166219687,0.5359518113465482,0.09792164748411747,74.0,0.0,8.3,1.2516655570345725
baseline,utilitarian,97.41666666666671,23.822420449009464,0.5549688840571195,0.06744792252825077,74.0,0.0,9.0,1.3333333333333333
cooperative,selfish,208.25,44.42959821482609,0.1435820733808354,0.09154555964374285,74.0,0.0,4.0,0.0
cooperative,selfless,34.99999999999995,9.914760165319297,0.20327380952380975,0.10640592023081344,74.0,0.0,9.8,1.4757295747452437
cooperative,utilitarian,37.916666666666615,9.223309842157771,0.14170634920634964,0.05852728437842336,74.0,0.0,10.8,1.1352924243950935
selfish,selfish,201.24999999999997,68.26357098377441,0.15775283164280404,0.07998448535435831,74.0,0.0,4.3,0.674948557710553
selfish,selfless,97.41666666666671,23.50285640638732,0.5962570683381023,0.09002277021356987,74.0,0.0,8.6,1.4298407059684812
selfish,utilitarian,86.33333333333334,22.47495176391097,0.5952436656480776,0.10533523394751468,74.0,0.0,9.3,1.5670212364724212
